External Transaction Id , Client Id , Security Id , Transaction Type , Transaction Date , Market Value , Priority Flag
SAPEXTXN1 , GS , ICICI , BUY , 11/23/2013 ,101.9, Y
SAPEXTXN2 , AS , REL , SELL , 11/20/2013 ,121.9, N
SAPEXTXN3 , AP , HINDALCO , DEPOSIT , 11/19/2013 ,120.0, Y
SAPEXTXN4 , HJ , RELIND , WITHDRAW , 11/30/2013 ,230.0, N
SAPEXTXN5 , GS , RELIND , WITHDRAW , 11/26/2013 ,330.0, Y
SAPEXTXN6 , AP , ICICI , SELL , 11/25/2013 ,100.0, Y
SAPEXTXN7 , AS , REL , BUY , 11/6/2013 ,121.1, N
SAPEXTXN8 , GS , RELIND , DEPOSIT , 11/11/2013 ,300.0, Y
SAPEXTXN9 , AP , ICICI , BUY , 11/12/2013 ,400.0, Y
SAPEXTXN10 , AS , REL , SELL , 11/13/2013 ,521.1, N
SAPEXTXN11 , GS , ICICI , WITHDRAW , 11/1/2013 ,101.9, Y
SAPEXTXN12 , AS , REL , DEPOSIT , 11/2/2013 ,121.9, N
SAPEXTXN13 , AP , HINDALCO, BUY , 11/3/2013 ,110.0, Y
SAPEXTXN14 , HJ , RELIND , SELL , 11/4/2013 ,330.0, N
SAPEXTXN15 , GS , RELIND , WITHDRAW , 11/5/2013 ,430.0, Y
SAPEXTXN16 , AP , ICICI , DEPOSIT , 11/6/2013 ,500.0, Y
SAPEXTXN17 , AS , REL , SELL , 11/7/2013 ,621.1, N
SAPEXTXN18 , GS , RELIND , BUY , 11/8/2013 ,500.0, Y
SAPEXTXN19 , AP , ICICI , BUY , 11/9/2013 ,100.0, Y
SAPEXTXN20 , AS , REL , SELL , 11/10/2013 ,721.1, N
SAPEXTXN21 , GS , ICICI , BUY , 11/23/2013 ,101.9, Y
SAPEXTXN22 , AS , REL , SELL , 11/20/2013 ,121.9, N
SAPEXTXN23 , AP , HINDALCO , DEPOSIT , 11/19/2013 ,120.0, Y
SAPEXTXN24 , HJ , RELIND , WITHDRAW , 11/30/2013 ,230.0, N
SAPEXTXN25 , GS , RELIND , WITHDRAW , 11/26/2013 ,330.0, Y
SAPEXTXN26 , AP , ICICI , SELL , 11/25/2013 ,100.0, Y
SAPEXTXN27 , AS , REL , BUY , 11/6/2013 ,121.1, N
SAPEXTXN28 , GS , RELIND , DEPOSIT , 11/11/2013 ,300.0, Y
SAPEXTXN29 , AP , ICICI , BUY , 11/12/2013 ,400.0, Y
SAPEXTXN210 , AS , REL , SELL , 11/13/2013 ,521.1, N
SAPEXTXN211 , GS , ICICI , WITHDRAW , 11/1/2013 ,101.9, Y
SAPEXTXN212 , AS , REL , DEPOSIT , 11/2/2013 ,121.9, N
SAPEXTXN213 , AP , HINDALCO, BUY , 11/3/2013 ,110.0, Y
SAPEXTXN214 , HJ , RELIND , SELL , 11/4/2013 ,330.0, N
SAPEXTXN215 , GS , RELIND , WITHDRAW , 11/5/2013 ,430.0, Y
SAPEXTXN216 , AP , ICICI , DEPOSIT , 11/6/2013 ,500.0, Y
SAPEXTXN217 , AS , REL , SELL , 11/7/2013 ,621.1, N
SAPEXTXN218 , GS , RELIND , BUY , 11/8/2013 ,500.0, Y
SAPEXTXN219 , AP , ICICI , BUY , 11/9/2013 ,100.0, Y
SAPEXTXN220 , AS , REL , SELL , 11/10/2013 ,721.1, N
